学校種,年度,学校数(単位:校),学生数(単位:人),学生数(男),学生数(女),教員数(本務者),教員数(兼務者),職員数(本務者),職員数(兼務者)
大学,令和3年度,803,2917998,1620942,1297056,190448,197011,258811,5156
大学,令和4年度,807,2930780,1626805,1303975,190646,200252,260799,6972
大学,令和5年度,810,2945599,1631245,1314354,191878,201693,264064,7751
大学,令和6年度,813,2949795,1629824,1319971,192531,200164,268505,7542
大学,令和7年度,812,2972412,1635654,1336758,192823,200362,273945,7765
短期大学,令和3年度,315,102232,12608,89624,7015,15549,3887,3419
短期大学,令和4年度,309,94713,11946,82767,6785,14988,3727,3216
短期大学,令和5年度,303,86689,11224,75465,6529,14172,3596,3149
短期大学,令和6年度,297,78295,11050,67245,6237,13624,3389,3007
短期大学,令和7年度,292,71196,11131,60065,5861,12682,3181,3020
高等専門学校,令和3年度,57,56905,44976,11929,4085,1851,2707,52
高等専門学校,令和4年度,57,56754,44486,12268,4025,1853,2751,49
高等専門学校,令和5年度,58,56576,43858,12718,3984,1904,2764,60
高等専門学校,令和6年度,58,56342,43139,13203,3922,1878,2798,68
高等専門学校,令和7年度,58,56277,42765,13512,3864,1905,2801,104